FID,precinct,shape_area,shape_leng,total_dens,TV_dens,Film_dens,Theater_de,Index,PolicePrecinct,TV,Film,Theater,ID
0,1.000000000000000,47301761.242600001394749,80586.154615499995998,0.000061371921970,0.000024333131997,0.000011606333159,0.000003361397035,1,2903,1151,549,159,1
1,5.000000000000000,18088797.952599998563528,18676.124259399999573,0.000110178686567,0.000049035873048,0.000024103315275,0.000000497545499,5,1993,887,436,9,2
2,6.000000000000000,22098189.802600000053644,26402.900669099999504,0.000093582325904,0.000032174581102,0.000016743452894,0.000000995556659,6,2068,711,370,22,3
3,71.000000000000000,45331787.174400001764297,29978.094261099999130,0.000005801668463,0.000002801566140,0.000002382434198,0.000000000000000,71,263,127,108,0,44
4,72.000000000000000,104621257.743000000715256,87968.194519900003797,0.000004683560593,0.000002131497984,0.000001395509891,0.000000000000000,72,490,223,146,0,45
5,7.000000000000000,18364020.915399998426437,17301.308682200000476,0.000045850524995,0.000016445200176,0.000011544312707,0.000000272271526,7,842,302,212,5,4
6,9.000000000000000,21394233.741500001400709,19773.233409600001323,0.000055622464183,0.000022295727240,0.000013508312730,0.000001308763863,9,1190,477,289,28,5
7,22.000000000000000,38301388.663599997758865,32701.349169699999038,0.000026709214357,0.000012453856548,0.000004908438220,0.000000104434856,22,1023,477,188,4,13
8,10.000000000000000,27214504.500999998301268,39279.117270000002463,0.000067941711007,0.000034613894953,0.000008341140291,0.000004115452479,10,1849,942,227,112,6
9,13.000000000000000,29508893.742899999022484,27719.171668899998622,0.000060354685456,0.000025517730572,0.000010674747849,0.000003863242079,13,1781,753,315,114,7
10,14.000000000000000,20510163.834199998527765,20974.709243400000560,0.000157726677668,0.000061530469001,0.000021111484213,0.000047781188289,14,3235,1262,433,980,8
11,17.000000000000000,22269687.046599999070168,26622.002811300000758,0.000036057983137,0.000016883937310,0.000008666489098,0.000000179616354,17,803,376,193,4,9
12,20.000000000000000,27671000.145700000226498,27040.994382400000177,0.000059303964127,0.000021249683673,0.000006902533302,0.000023237324152,20,1641,588,191,643,12
13,18.000000000000000,32261097.597300000488758,41624.362982500002545,0.000153094605201,0.000075074941040,0.000017761329982,0.000037971429717,18,4939,2422,573,1225,10
14,19.000000000000000,48744673.581600002944469,30152.656551899999613,0.000028249240354,0.000012801398679,0.000005518551674,0.000000307725930,19,1377,624,269,15,11
15,23.000000000000000,21467755.114500001072884,19438.109517600001709,0.000017794128821,0.000009968438659,0.000004099171037,0.000000605559358,23,382,214,88,13,14
16,24.000000000000000,25479873.368400000035763,20706.919075900001189,0.000016640585056,0.000008281045865,0.000004827339533,0.000000117739989,24,424,211,123,3,15
17,25.000000000000000,44793124.964199997484684,52199.007378399997833,0.000004866818294,0.000002321784874,0.000001406465837,0.000000000000000,25,218,104,63,0,16
